traj,i,split,gyro,acc,n_win,speed,vx,vy,vz,acc_std,gyr_std,ax,ay
drone_train_0000,0,train,+x+y+z,+x+y+z,60,0.26533872,0.1049507,-0.04672598,0.04329048,5.35717333946246,0.13559165452574834,-3.62061722273007,0.316518482044184
drone_train_0001,1,train,+x+y+z,+x+y+z,60,0.58960205,0.056373943,0.007644053,0.008297645,5.3580517436301465,0.17482463897962333,-3.2627105917806425,-0.0520508380656441
drone_train_0002,2,train,+x+y+z,+x+y+z,60,0.48268962,-0.050098278,0.15405259,-0.0005826848,5.34557273342413,0.13414240075724454,-3.207928193906943,-0.047492788958673676
drone_train_0003,3,train,+x+y+z,+x+y+z,60,0.3478249,0.12478073,-0.09469465,0.055680715,5.461793565046115,0.15396408812986723,-4.111602818047007,0.2515616839683304
drone_train_0004,4,train,+x+y+z,+x+y+z,60,0.5432066,0.030875681,0.036610525,-0.01701177,5.354279455014017,0.15537711617344754,-3.265792877177397,-0.04670893773421024
drone_train_0005,5,train,+x+y+z,+x+y+z,29,0.6675954,-0.18579039,0.1535798,-0.0105427485,5.361706005826196,0.12006772640692061,-3.2294243313014652,-0.06015547279620392
drone_train_0006,6,train,+x+y+z,+x+y+z,29,0.43441296,0.20612046,-0.19629705,0.090187,5.30252253641833,0.16331304834475857,-3.1015127703438115,0.3148357557194197
drone_train_0007,7,train,+x+y+z,+y-x+z,18,1.2772373,0.060091905,0.15597673,0.13457146,5.396508049824565,0.1691792350553949,-3.31609855152017,-0.039735380835051286
drone_train_0008,8,train,+x+y+z,+y-x+z,19,1.0508164,0.009993175,0.4563367,0.042362496,5.422201441911826,0.26036105984992786,-3.314199678728423,-0.12789506028751432
drone_train_0009,9,train,+x+y+z,+x+y+z,19,0.6453572,-0.013957776,0.5234672,-0.023542348,5.413004274404606,0.20131012914908744,-3.188782991370466,-0.06766207385325679
drone_train_0010,10,train,+x+y+z,+x+y+z,60,0.3242514,0.053420264,-0.057839904,0.035809726,5.3557255561735495,0.20411565446333613,-3.3055779112667465,-0.009447753872722387
drone_train_0011,11,train,+x+y+z,+x+y+z,60,0.50909543,0.20772408,-0.021409953,0.08612826,5.362284666251278,0.17946838627443382,-3.3011220143316313,-0.011471056293230504
drone_train_0012,12,train,+x+y+z,+x+y+z,23,0.3644788,0.17123865,0.20018405,0.018225173,5.374601085350808,0.20886928606719246,-3.30401463524959,-0.07687704470914036
drone_train_0013,13,train,+x+y+z,+x+y+z,60,0.92293715,0.19862372,0.11749713,0.0982192,5.434133493690057,0.38767950047735583,-3.3583336009598956,-0.030773812574024003
drone_train_0014,14,train,+x+y+z,+x-y+z,23,0.8728578,0.39691395,0.059573572,0.14776357,5.434968547455792,0.3640005520244075,-3.391589909655617,-0.02549381246631767
drone_train_0015,15,train,+x+y+z,+x+y+z,60,0.32320073,0.16149178,0.04571128,0.05564903,5.349938740145625,0.202427423746835,-3.113206170247247,-0.02557969319742794
drone_train_0016,16,train,+x+y+z,+x+y+z,52,0.32880294,0.10051419,0.061127063,0.028307501,5.354168964787824,0.19038799167079593,-3.0974217596119984,-0.028265625555426454
drone_train_0017,17,train,+x+y+z,+x+y+z,60,0.7658142,0.22011153,-0.042391013,0.101247914,5.417367382472247,0.42298160566614373,-3.2151694506940744,0.006829242192829649
drone_train_0018,18,train,+x+y+z,+x-y+z,55,0.6721479,0.14496358,0.07862094,0.04244503,5.402949319695549,0.38607469692612156,-3.1684209591558656,0.016143962123599826
drone_train_0019,19,train,+x+y+z,-x-y+z,49,5.6224604,4.8822837,-1.6926011,0.9320404,5.60566190099081,0.7994119427969196,-0.30830768580766066,-0.16590741935044556
drone_train_0020,20,train,+x+y+z,+x-y+z,49,5.622445,4.6785274,-2.2290585,0.8443005,6.160940721354045,0.8058867499162563,-1.2661061415252755,0.4727967582769594
drone_train_0021,21,train,+x+y+z,-z+x-y,30,6.907088,5.579155,-1.98755,1.5390604,6.693743239112519,1.0156977043154483,-0.7023600492014668,0.04839737118323613
drone_train_0022,22,train,+x+y+z,+x-y+z,30,6.9063625,5.2172165,-2.8630073,1.4220414,7.262778295547842,1.0218757012877362,-1.5600691149691455,0.727295072764804
drone_train_0023,23,train,+x+y+z,-y-z-x,60,4.7433553,1.3653113,1.4804478,0.8705153,6.569126686693339,1.2382831100846834,0.3552029477897231,-1.6382863992298273
drone_train_0024,24,train,+x+y+z,-z-y-x,60,4.7433176,1.4137084,1.4664651,0.8148949,7.104730734898422,1.2394645782983296,-0.5163343589617289,-0.9302939874385096
drone_train_0025,25,train,+x+y+z,+x-y+z,28,4.318123,3.4281359,-0.4435136,0.71937114,5.23570795748506,0.5659860181394324,0.18201764466363102,-0.754050543525545
drone_train_0026,26,train,+x+y+z,+x-y+z,28,4.318268,3.413258,-0.5947736,0.68116677,6.050413166422418,0.5719941505675796,-0.835811610303871,-0.12997293298746576
drone_train_0027,27,train,+x+y+z,+x-y+z,29,4.350755,3.3610501,-0.27334267,0.69789416,5.323529631649183,0.6060806077116162,0.1816092689736288,-0.8508839753068816
drone_train_0028,28,train,+x+y+z,+x-y+z,29,4.350923,3.3572726,-0.40295494,0.6531442,6.132613179142351,0.6115210220416742,-0.8297683097616417,-0.23123408160251063
drone_train_0029,29,train,+x+y+z,+x-y+z,49,4.2039175,2.3316424,-1.2762944,2.9767241,5.572832244458403,0.5290041529299782,-6.709166223399159,-0.0844542354982098
drone_train_0030,30,train,+x+y+z,+x-y+z,49,4.2039165,3.6439536,-1.5519878,0.48918772,5.295840902131983,0.5288665630464557,-0.8233642673497978,0.3760695272891631
drone_train_0031,31,train,+x+y+z,+x-y+z,43,3.8163352,2.067987,-1.5440384,2.5626378,5.4743378241831815,0.4680898600087093,-6.551114364621926,-0.24600287503748514
drone_train_0032,32,train,+x+y+z,+x-y+z,43,3.8163452,3.2466455,-1.5941868,0.38155767,5.1653104993331755,0.46461516087391275,-0.7262178941423655,0.35256679929255313
drone_train_0033,33,train,+x+y+z,+x-y+z,37,4.304206,2.320233,-1.3899702,3.0613525,5.599960482761767,0.5211829498416949,-6.8683082210075606,-0.16755483546638
drone_train_0034,34,train,+x+y+z,+x-y+z,37,4.303813,3.6953437,-1.659545,0.5237335,5.269379840343615,0.5271223570983448,-0.83966196932315,0.4738136115645217
drone_train_0035,35,train,+x+y+z,+x-z-y,37,5.834057,2.7312927,-2.0672727,4.140098,6.515336283118434,0.7146679651182408,-8.066792643247425,0.07516913462066539
drone_train_0036,36,train,+x+y+z,+x-y+z,36,5.8347225,4.6659756,-2.4719093,0.9994882,6.085220181637264,0.7678782292148528,-1.1728680800619293,0.8191871431958238
drone_train_0037,37,train,+x+y+z,+z-y-x,60,7.8852787,5.663626,-0.80202645,2.013792,5.613650091145561,0.5163842653451461,0.5527445023135515,-0.7689604418775962
drone_train_0038,38,train,+x+y+z,+z-y-x,25,7.922249,5.4668727,-1.5770063,1.9568671,5.571925178473459,0.5755812170646752,0.5839902517047958,-0.4988734588888798
