epoch,lr,min,l_win,l_dense,l_drift,l_plat,l_lag
1,9.63660166806656e-05,1.3381525198618571,0.5369,0.6333,1.212,0.7213,0.0
2,0.00015918264449445618,2.6895294706026713,0.4104,0.5113,0.8749,0.2005,0.0
3,0.00025968246977767315,4.042198689778646,0.3538,0.4534,0.7519,0.0949,0.0
4,0.00039183803725058243,5.395011909802755,0.2926,0.3839,0.6519,0.054,0.0
5,0.000547723345343868,6.74812608162562,0.2478,0.3291,0.5831,0.0356,0.0
6,0.0007179892064280787,8.101137820879618,0.2251,0.303,0.5369,0.0266,0.0
7,0.0008924239623191494,9.453351219495138,0.2083,0.2808,0.5157,0.0245,0.0
8,0.001060565926268852,10.804560061295827,0.2049,0.2774,0.5063,0.0246,0.0
9,0.0012123308203642903,12.157692650953928,0.1888,0.2598,0.475,0.0175,0.0
10,0.0013386165779141446,13.509188147385915,0.1784,0.2488,0.4583,0.0176,0.0
11,0.0014318492379293882,14.861861483256023,0.1756,0.245,0.4522,0.0205,0.0
12,0.0014864371917950926,16.21320518652598,0.16,0.2273,0.422,0.0177,0.0
13,0.0014999928933250026,17.56589941183726,0.1528,0.2184,0.4079,0.0179,0.0
14,0.0014997524654169335,18.915255641937257,0.1404,0.2062,0.3794,0.0193,0.0
15,0.0014991706269724995,20.267026309172312,0.1315,0.1951,0.3621,0.0162,0.0
16,0.0014982476430064544,21.620827337106068,0.1244,0.1872,0.349,0.013,0.0
17,0.001496983933917918,22.97577538092931,0.1168,0.1796,0.3322,0.0162,0.0
18,0.0014953800752988897,24.32980224688848,0.1104,0.1711,0.3178,0.0118,0.0
19,0.001493436797672082,25.68198935588201,0.1059,0.1661,0.3118,0.0115,0.0
20,0.0014911549861581811,27.03539315859477,0.0999,0.1589,0.2965,0.0125,0.0
21,0.0014885356800726957,28.39026091893514,0.0944,0.1533,0.2858,0.0099,0.0
22,0.001485580072452569,29.74226798613866,0.0941,0.1524,0.2846,0.0101,0.0
23,0.0014822895095127785,31.09297986825307,0.0883,0.1459,0.2713,0.0115,0.0
24,0.001478665490033163,32.44636385838191,0.0883,0.1455,0.2739,0.0109,0.0
25,0.0014747096646757624,33.799175186951956,0.082,0.1389,0.261,0.0121,0.0
26,0.001470423835232975,35.151260034243265,0.0801,0.1365,0.256,0.0123,0.0
27,0.0014658099538068816,36.50297257900238,0.0783,0.1345,0.2526,0.0099,0.0
28,0.0014608701219201055,37.85465765396754,0.0736,0.129,0.2399,0.0077,0.0
29,0.0014556065895586145,39.20769168933233,0.0741,0.1291,0.2425,0.0101,0.0
30,0.0014500217541469009,40.56093889474869,0.0708,0.1248,0.2376,0.0075,0.0
31,0.0014441181594560073,41.912607312202454,0.0717,0.1261,0.2375,0.0093,0.0
32,0.0014378984944448934,43.26707200606664,0.0704,0.1251,0.2337,0.008,0.0
33,0.0014313655920356748,44.619028580188754,0.0644,0.1175,0.218,0.0082,0.0
34,0.0014245224278232878,45.970311522483826,0.0668,0.1199,0.2259,0.0107,0.0
35,0.001417372118720171,47.32000967264175,0.0658,0.1186,0.2234,0.0079,0.0
36,0.001409917921536579,48.66912959019343,0.064,0.1164,0.2189,0.0098,0.0
37,0.0014021632314971772,50.02038051684698,0.0606,0.1124,0.2099,0.0085,0.0
38,0.0013941115806945896,51.37290719350179,0.0605,0.1127,0.2123,0.0084,0.0
39,0.0013857666364806083,52.72273368040721,0.0593,0.1106,0.2112,0.0077,0.0
40,0.001377132199795794,54.07393440008163,0.0595,0.1111,0.2099,0.0065,0.0
41,0.0013682122034382304,55.42651440302531,0.0562,0.1079,0.2016,0.0085,0.0
42,0.0013590107102722212,56.77828200658163,0.0552,0.1063,0.1972,0.0077,0.0
43,0.0013495319113777417,58.13029068311055,0.0556,0.1068,0.1983,0.0063,0.0
44,0.0013397801241414949,59.481290157636,0.0538,0.1043,0.1974,0.0089,0.0
45,0.0013297597902904353,60.8307443300883,0.0521,0.1026,0.1907,0.0074,0.0
46,0.0013194754738686581,62.18414460023244,0.0524,0.1025,0.1928,0.0077,0.0
47,0.001308931859158578,63.53442758719127,0.0504,0.0996,0.1867,0.0066,0.0
48,0.001298133748547338,64.88588859637578,0.0514,0.1014,0.1894,0.0073,0.0
49,0.0012870860603394294,66.23688646952311,0.0484,0.0972,0.1829,0.0077,0.0
50,0.0012757938265165092,67.58865040540695,0.0485,0.0978,0.1801,0.0063,0.0
51,0.001264262190445442,68.94061182339986,0.0483,0.0968,0.1822,0.0067,0.0
52,0.001252496404535609,70.29359499613444,0.0452,0.0936,0.1742,0.0072,0.0
53,0.00124050182784655,71.6474484125773,0.0455,0.0933,0.1739,0.007,0.0
54,0.0012282839236470266,72.99895930687586,0.0435,0.0905,0.1714,0.0076,0.0
55,0.0012158482569266246,74.35147126515706,0.0436,0.0907,0.1708,0.0061,0.0
56,0.0012032004918610204,75.70607732137044,0.0439,0.092,0.1695,0.0073,0.0
57,0.0011903463892320727,77.06066093842189,0.0422,0.0894,0.1657,0.0056,0.0
58,0.0011772918038039121,78.41334231297175,0.0412,0.0886,0.1622,0.0055,0.0
59,0.0011640426816562236,79.76437922716141,0.0434,0.0911,0.1682,0.006,0.0
60,0.0011506050574759347,81.1146906375885,0.042,0.088,0.1655,0.0061,0.0
61,0.00113698505180855,82.4662104845047,0.0404,0.0876,0.1608,0.0058,0.0
62,0.0011231888682703727,83.82061298688252,0.0397,0.0853,0.1589,0.0062,0.0
63,0.0011092227907228947,85.17504256169,0.0388,0.0845,0.1585,0.0063,0.0
64,0.001095093180410633,86.53072934945425,0.0388,0.0845,0.157,0.0071,0.0
65,0.0010808064730637214,87.88522053162256,0.0373,0.0831,0.1541,0.0066,0.0
66,0.001066369175966576,89.2395075082779,0.035,0.0796,0.1469,0.0057,0.0
67,0.0010517878649939677,90.59523722728093,0.0377,0.0831,0.1549,0.0068,0.0
68,0.001037069181615856,91.94943002462387,0.0369,0.0827,0.1521,0.0055,0.0
69,0.0010222198298723423,93.30459612210592,0.0353,0.0802,0.1484,0.0061,0.0
70,0.0010072465733201256,94.659457163016,0.0341,0.0789,0.1447,0.0069,0.0
71,0.0009921562319518502,96.01549143393835,0.0345,0.0786,0.1455,0.0071,0.0
72,0.0009769556790897478,97.37097903887431,0.0346,0.0799,0.1462,0.0069,0.0
73,0.0009616518382549868,98.7266347805659,0.0331,0.0778,0.1403,0.0054,0.0
74,0.0009462516800141615,100.081776034832,0.0327,0.0766,0.14,0.0064,0.0
75,0.0009307622188043486,101.43527036507925,0.0311,0.0755,0.1352,0.0051,0.0
76,0.0009151905097381853,102.78876053889593,0.0323,0.0764,0.139,0.0062,0.0
77,0.0008995436453904178,104.14251298904419,0.0325,0.0766,0.1379,0.0046,0.0
78,0.0008838287525673883,105.49807268381119,0.0305,0.0745,0.1325,0.0051,0.0
79,0.0008680529890609294,106.85440035263697,0.0296,0.0728,0.1317,0.0057,0.0
80,0.0008522235403881465,108.20716623862585,0.0308,0.0734,0.135,0.0062,0.0
81,0.0008363476165185695,109.5589825073878,0.0293,0.0721,0.1319,0.005,0.0
82,0.0008204324485901705,110.91059511502584,0.0288,0.0724,0.1281,0.0058,0.0
83,0.0008044852856157358,112.26212464968363,0.0282,0.0718,0.1261,0.0053,0.0
84,0.0007885133911810999,113.61452326774597,0.028,0.0715,0.1262,0.0037,0.0
85,0.0007725240401367392,114.96684677600861,0.0277,0.0704,0.1247,0.0053,0.0
86,0.0007565245152842356,116.32316025892894,0.0264,0.069,0.1229,0.005,0.0
87,0.0007405221040591199,117.67864283323289,0.0261,0.0689,0.1209,0.0056,0.0
88,0.0007245240952116029,119.03405281305314,0.0261,0.0682,0.1215,0.005,0.0
89,0.0007085377754867074,120.38849691947301,0.0266,0.0692,0.1223,0.0059,0.0
90,0.0006925704263053161,121.74218344291052,0.0252,0.068,0.1175,0.0053,0.0
91,0.000676629320447641,123.0943998893102,0.0241,0.0662,0.1152,0.0053,0.0
92,0.0006607217187406319,124.44643462896347,0.025,0.0664,0.1166,0.0051,0.0
93,0.0006448548667508255,125.79673895835876,0.0239,0.0663,0.1138,0.0057,0.0
94,0.0006290359914841502,127.14752659400304,0.0246,0.0667,0.114,0.0057,0.0
95,0.0006132722980941794,128.49794615507125,0.0236,0.0654,0.1124,0.0037,0.0
96,0.0005975709666003432,129.84727102518082,0.0238,0.0658,0.1134,0.0045,0.0
97,0.0005819391486175835,131.196905930837,0.0225,0.0644,0.1094,0.0047,0.0
98,0.0005663839640989506,132.5472956418991,0.0233,0.0649,0.1092,0.0046,0.0
99,0.000550912498092619,133.89811322689056,0.0214,0.0622,0.1067,0.005,0.0
100,0.0005355317975148015,135.24965626796086,0.0226,0.0641,0.1084,0.0043,0.0
101,0.0005202488679400334,136.597591761748,0.0206,0.0619,0.1025,0.0053,0.0
102,0.000505070670410284,137.94651597340902,0.0213,0.0627,0.1047,0.0044,0.0
103,0.0004900041182643553,139.29347825447718,0.0216,0.0628,0.1052,0.0048,0.0
104,0.0004750560739890045,140.6436618566513,0.0208,0.0622,0.1018,0.0047,0.0
105,0.0004602333460932332,141.99474303722383,0.0201,0.0608,0.0994,0.0048,0.0
106,0.00044554268600715646,143.3441557129224,0.0207,0.0611,0.1018,0.0042,0.0
107,0.0004309907850068763,144.6923693974813,0.0194,0.0593,0.0984,0.0047,0.0
108,0.00041658427116674857,146.0439741373062,0.0194,0.0598,0.0975,0.0039,0.0
109,0.0004023297063404408,147.4017053047816,0.0191,0.0595,0.0961,0.0049,0.0
110,0.0003882335831721501,148.75487130482992,0.0189,0.0591,0.0955,0.0044,0.0
111,0.0003743023221393447,150.1077422539393,0.0183,0.0587,0.0947,0.0038,0.0
112,0.00036054226862837664,151.45949470996857,0.0182,0.0584,0.0932,0.0053,0.0
113,0.000346959690044296,152.80911389986673,0.0175,0.0576,0.09,0.0045,0.0
114,0.0003335607729561843,154.15800199508666,0.0174,0.0572,0.0911,0.004,0.0
115,0.00032035162027930673,155.5101619243622,0.0179,0.0581,0.0904,0.004,0.0
116,0.0003073382484953673,156.86180361509324,0.0172,0.057,0.0896,0.0044,0.0
117,0.00029452658491213195,158.21386468807856,0.0171,0.0566,0.0885,0.0039,0.0
118,0.00028192246496366917,159.56339767376582,0.0172,0.0574,0.0882,0.0046,0.0
119,0.0002695316295524365,160.9161744515101,0.0166,0.0555,0.0872,0.0042,0.0
120,0.0002573597224344242,162.27028956810634,0.0161,0.0555,0.0858,0.0051,0.0
121,0.0002454122876485477,163.6250960667928,0.0163,0.0562,0.0862,0.0044,0.0
122,0.00023369476699145763,164.97863725423812,0.0159,0.0558,0.0829,0.0029,0.0
123,0.0002222124975389208,166.32967845598856,0.0159,0.0557,0.0833,0.0041,0.0
124,0.00021097070921489747,167.68022655646007,0.0155,0.0552,0.0817,0.0041,0.0
125,0.00019997452240942508,169.033362587293,0.0157,0.0552,0.0824,0.0036,0.0
126,0.00018922894564639222,170.38484963576,0.0152,0.0545,0.0809,0.0033,0.0
127,0.00017873887330226458,171.73728569746018,0.0147,0.0547,0.0795,0.0042,0.0
128,0.0001685090833768029,173.08789518674214,0.0147,0.0542,0.0789,0.004,0.0
129,0.0001585442353167883,174.43948120276133,0.0145,0.0538,0.0776,0.0033,0.0
130,0.00014884886789374562,175.79453664620718,0.0146,0.054,0.078,0.0033,0.0
131,0.00013942739713663146,177.1480502327283,0.0141,0.0535,0.0768,0.0036,0.0
132,0.00013028411432042911,178.50259804725647,0.0141,0.0536,0.0761,0.0043,0.0
133,0.0001214231840115665,179.85568301280338,0.0139,0.0525,0.0766,0.0038,0.0
134,0.00011284864217104637,181.20696184635162,0.0137,0.053,0.0735,0.0029,0.0
135,0.00010456439431615386,182.5573894460996,0.014,0.0529,0.0752,0.0039,0.0
136,9.657421374157869e-05,183.9106112877528,0.0146,0.0541,0.0753,0.0026,0.0
137,8.888173980076101e-05,185.2616246064504,0.014,0.054,0.0747,0.0033,0.0
138,8.14904762482457e-05,186.61290212869645,0.0133,0.0526,0.0721,0.003,0.0
139,7.440378964379768e-05,187.96296864350637,0.0132,0.052,0.0717,0.0034,0.0
140,6.762490781900777e-05,189.3154913028081,0.0134,0.0529,0.0712,0.0032,0.0
141,6.115691840708521e-05,190.66949113607407,0.0134,0.0525,0.0712,0.0037,0.0
142,5.500276743650818e-05,192.02327462832133,0.0131,0.0518,0.0712,0.0038,0.0
143,4.916525798917187e-05,193.37740305662155,0.0131,0.0526,0.0709,0.0028,0.0
144,4.364704892364503e-05,194.72772789796193,0.0126,0.0515,0.0699,0.0025,0.0
145,3.845065366411928e-05,196.07851280768713,0.0129,0.0517,0.0693,0.0029,0.0
146,3.357843905559693e-05,197.42928763230643,0.0127,0.052,0.0693,0.0029,0.0
147,2.90326242858467e-05,198.78065672715505,0.0131,0.0524,0.0691,0.0034,0.0
148,2.4815279874610228e-05,200.13016678889593,0.0131,0.0527,0.0694,0.0036,0.0
149,2.0928326730526668e-05,201.483135954539,0.0126,0.0517,0.0684,0.0028,0.0
150,1.7373535276199414e-05,202.83689155578614,0.0125,0.0511,0.0681,0.0034,0.0
151,1.4152524641808502e-05,204.1907979488373,0.0128,0.0524,0.068,0.0038,0.0
152,1.1266761927630365e-05,205.54271806081135,0.0119,0.0503,0.0669,0.0041,0.0
153,8.717561535807424e-06,206.89610415697098,0.0132,0.0527,0.069,0.0034,0.0
154,6.506084571664721e-06,208.24996315638225,0.0126,0.0513,0.068,0.0035,0.0
155,4.633338314853082e-06,209.6029709815979,0.0124,0.0509,0.0674,0.0029,0.0
156,3.1001757605543303e-06,210.95321636597316,0.0126,0.0514,0.068,0.0032,0.0
157,1.9072952309608149e-06,212.30398830970128,0.0125,0.0511,0.0678,0.0029,0.0
158,1.0552400572049403e-06,213.66040573120117,0.0122,0.0507,0.0674,0.0021,0.0
159,5.443983318835575e-07,215.01675161123276,0.0125,0.0512,0.0675,0.0027,0.0
160,3.750027322899378e-07,216.3724527835846,0.0126,0.051,0.0671,0.0033,0.0
