Seq. ID,ATE20 (m),AVE (m/s),RTE (m)
1,0.82964,0.33689,1.873
2,0.49845,0.35071,1.18131
3,0.53526,0.20527,0.76487
4,0.49769,0.30809,0.90331
5,0.90531,0.40465,1.83514
6,0.67398,0.089,0.76301
7,1.1162,0.34357,1.50833
8,0.46844,0.03921,0.20814
9,0.64042,0.27777,0.97219
10,0.77138,0.086,0.69346
11,1.02361,0.65759,2.01688
12,0.30733,0.15408,0.67184
13,0.30048,0.04431,0.2618
14,0.56415,0.38253,1.22791
15,1.02142,0.07303,0.40941
16,0.1265,0.03393,0.22371
17,1.136,0.55938,2.66948
18,1.35974,0.56489,2.5536
19,0.52132,0.29398,1.30762
20,0.13964,0.05281,0.36973
21,0.70602,0.20863,1.13253
22,0.57289,0.39121,1.19663
23,1.02679,0.24112,1.98357
24,0.39165,0.04347,0.19348
25,0.1046,0.0292,0.10907
26,0.59606,0.08597,0.35278
27,0.47552,0.05958,0.28951
28,0.5664,0.25581,1.27085
29,3.66063,2.88563,16.03911
30,1.13637,0.54795,2.60809
31,0.70331,0.29826,1.60505
32,0.3191,0.0839,0.24592
33,0.21024,0.05096,0.20749
34,1.581,0.36642,1.79966
35,1.05592,0.41304,1.65908
36,1.01626,0.32471,1.87849
37,2.55536,2.1078,11.71813
38,2.1523,1.80676,8.91716
39,0.6438,0.25587,0.97667
40,0.78408,0.31782,1.85324
41,1.08096,0.32746,2.13989
42,0.49301,0.08787,0.48251
43,0.91971,0.28617,1.11455
44,0.21182,0.05056,0.31457
45,0.08318,0.05306,0.12613
46,0.25773,0.05925,0.24116
47,0.83974,0.3868,1.06346
48,0.21122,0.01467,0.10119
49,0.79822,0.25534,1.34256
50,0.66875,0.21015,1.11743
51,0.08025,0.03656,0.09738
52,0.25824,0.0702,0.35925
53,0.3935,0.2794,0.51331
54,0.22187,0.07004,0.26038
55,0.26862,0.14354,0.66499
56,3.40639,2.89645,15.34878
57,0.92179,0.35594,2.14533
58,0.21924,0.04999,0.25006
59,0.36142,0.07402,0.38516
60,0.15647,0.06568,0.21409
61,0.90634,0.35975,1.15773
62,0.07272,0.0201,0.06134
63,0.45484,0.06988,0.32678
64,0.40422,0.05947,0.26798
65,0.10603,0.03795,0.12989
66,2.15269,0.22584,1.57679
67,0.1133,0.03187,0.14267
68,0.52563,0.04762,0.22243
69,0.68598,0.08417,0.43982
70,0.50301,0.07305,0.32966
71,0.19595,0.06022,0.1921
72,0.85061,0.45169,1.43742
73,0.80708,0.13141,0.76689
74,0.59459,0.3096,1.00579
75,0.54808,0.3933,1.21575
76,0.39863,0.0972,0.42272
77,1.16641,0.56745,2.3373
78,0.19725,0.02852,0.09763
79,0.81741,0.26057,1.41909
80,0.44848,0.17432,0.91044
81,0.64451,0.11631,0.47397
82,2.89639,0.38917,2.53279
83,0.44928,0.07437,0.37157
84,0.47746,0.05684,0.32054
85,0.07355,0.03176,0.09717
86,0.30533,0.02716,0.14758
87,0.41356,0.17276,0.65684
88,1.02829,0.29361,2.01203
89,0.14752,0.02806,0.09125
