Seq. ID,ATE20 (m),AVE (m/s),RTE (m)
1,0.90459,0.37748,1.97536
2,0.57075,0.34492,1.13957
3,0.87367,0.26305,1.11493
4,0.47435,0.32183,0.86026
5,0.89583,0.39812,1.67763
6,0.69028,0.0896,0.76495
7,0.93345,0.31949,1.30086
8,0.57322,0.04177,0.23926
9,0.70935,0.31776,1.04983
10,0.92465,0.08477,0.69637
11,1.03471,0.58429,2.07249
12,0.32327,0.15599,0.70949
13,0.455,0.04759,0.31925
14,0.66486,0.35692,1.20412
15,1.31323,0.09249,0.52712
16,0.12421,0.03387,0.2244
17,0.82613,0.42856,1.96003
18,1.62135,0.58904,2.88748
19,0.43992,0.30938,1.26594
20,0.14349,0.05181,0.36722
21,0.74883,0.22622,1.23579
22,0.66155,0.37903,1.20859
23,1.07333,0.24902,2.09497
24,0.46257,0.04755,0.21006
25,0.10035,0.03164,0.10077
26,0.24867,0.06945,0.19335
27,0.50499,0.067,0.30647
28,0.77894,0.37392,2.03396
29,3.79642,3.03389,16.94945
30,0.81176,0.39792,1.9032
31,0.7533,0.36341,1.63055
32,0.19907,0.06452,0.16704
33,0.21241,0.04898,0.19849
34,1.63297,0.37787,1.85013
35,0.9934,0.41413,1.53809
36,1.07799,0.3916,2.00749
37,2.24718,1.94769,10.75196
38,1.69166,1.51094,7.74421
39,0.59532,0.25733,0.99364
40,0.85374,0.37548,1.94038
41,1.11091,0.34136,2.214
42,0.48021,0.08952,0.38121
43,0.945,0.30664,1.51219
44,0.22828,0.05201,0.31915
45,0.07833,0.04985,0.11794
46,0.31842,0.06485,0.28239
47,1.09292,0.39128,1.21417
48,0.25492,0.01608,0.11448
49,0.83069,0.27116,1.44207
50,0.6395,0.21964,0.94644
51,0.11136,0.05901,0.1463
52,0.21782,0.07542,0.3186
53,0.38127,0.27583,0.50835
54,0.30502,0.07567,0.4426
55,0.31157,0.15367,0.74701
56,3.35058,2.79528,15.52848
57,0.96222,0.37909,2.24464
58,0.24166,0.05157,0.25434
59,0.34801,0.07338,0.30262
60,0.16275,0.07322,0.22367
61,0.9906,0.3577,1.17857
62,0.07098,0.0199,0.06434
63,0.44727,0.07311,0.33848
64,0.44102,0.0632,0.27004
65,0.09308,0.04333,0.1299
66,2.18417,0.2332,1.61287
67,0.151,0.03205,0.15721
68,0.52016,0.05567,0.22991
69,0.64067,0.08991,0.46936
70,0.4242,0.07025,0.27954
71,0.2067,0.06355,0.21404
72,0.84137,0.50647,1.7814
73,0.94838,0.14494,0.92494
74,0.62809,0.30236,0.98624
75,0.62672,0.37599,1.18378
76,0.25351,0.06953,0.24732
77,1.19536,0.55724,2.40378
78,0.24283,0.03663,0.24723
79,0.52717,0.22936,1.06119
80,0.46826,0.1832,0.9543
81,0.44934,0.10821,0.38823
82,3.70325,0.37423,2.44228
83,0.45953,0.07482,0.36973
84,0.48848,0.05973,0.32464
85,0.0911,0.03528,0.10998
86,0.27223,0.03034,0.15496
87,0.64645,0.21236,0.87196
88,1.055,0.29482,2.05786
89,0.14432,0.03157,0.10926
